species	V0	V1	V3	V4	V5	V6
Pleurodeles_waltl	0.104	-2.263	0.000591142683364756	134.939470919724	0.59478267	-1.1306499  
Microcebus_murinus	0.724	-0.323	0.0038192	28.42977305	0.61801105	0.4309261  
Cavia_porcellus	0.866	-0.144	0.001741841	31.00008338	0.462107059	1.1293591
Podarcis_muralis	0.058	-2.847	0.001295381	11.40084323	0.401535996	-2.1258258
Zootoca_vivipara	0.048	-3.037	0.003155075	9.388013059	0.482823293	-2.4899841
Varanus_exanthematicus	0.0490	-0.713	0.000808207	41.0505927	0.536259544	-1.9475836
Varanus_niloticus	0.058	-2.847	0.001170244	19.44811242	0.484534718	-1.7158620
Chelodina_oblonga	0.034	-3.381	0.001542919	19.95595849	0.588528274	-2.1437473
Trachemys_scripta	0.051	-2.976	0.00140317	23.30202384	0.486474631	-2.5572362
Pelodiscus_sinensis	0.040	-3.219	0.009798535	24.91903184	0.470861199	-2.4872897
Crocodylus_niloticus	0.034	-3.381	0.000996448	31.43206434	0.479811325	-0.7340743  
Gallus_gallus	1.608	0.475	0.003364975	31.1479916666667	0.506599179	2.2065463  
Anas_platyrhynchos	1.390	0.329	0.002240553	19.06358609	0.516224536	2.1634257
Caiuajara_dobruskii	NA	NA	0.004085312	NA	NA	NA
Ramphastos_toco	1.82663898558469	NA	0.00067833	NA	NA	NA
Fregata_magnificens	1.23336976012593	NA	0.00044466	NA	NA	NA
Coragyps_atratus	1.32989336404792	NA	0.00056578	NA	NA	NA
Anhinga_anhinga	1.46097021238928	NA	0.00055084	NA	NA	NA
